Indeks obiektywnego poziom wiedzy;"Czy konsultujesz suplementację ze specjalistą?"
4;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
2;"Nie, nie konsultuję"
4;"Tak, z dietetykiem"
5;"Tak, z dietetykiem"
5;"Tak, z lekarzem"
4;"Nie, nie konsultuję"
4;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
5;"Tak, z dietetykiem"
4;"Tak, z dietetykiem"
4;"Tak, z dietetykiem"
5;"Tak, z dietetykiem"
4;"Tak, z lekarzem"
5;"Tak, z dietetykiem"
5;"Nie, nie konsultuję"
5;"Inne"
5;"Tak, z dietetykiem"
5;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
5;"Inne"
4;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
4;"Tak, z lekarzem"
5;"Tak, z lekarzem"
3;"Tak, z lekarzem"
3;"Tak, z dietetykiem"
1;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
1;"Tak, z farmaceutą"
5;"Nie, nie konsultuję"
2;"Tak, z lekarzem"
5;"Tak, z dietetykiem"
4;"Tak, z dietetykiem"
2;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
4;"Tak, z farmaceutą"
4;"Tak, z dietetykiem"
2;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
5;"Tak, z dietetykiem"
2;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
1;"Tak, z farmaceutą"
3;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
0;"Nie, nie konsultuję"
4;"Tak, z lekarzem"
4;"Tak, z lekarzem"
5;"Tak, z lekarzem"
0;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
2;"Tak, z lekarzem"
3;"Inne"
5;"Nie, nie konsultuję"
5;"Tak, z lekarzem"
4;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
2;"Nie, nie konsultuję"
4;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
2;"Tak, z lekarzem"
4;"Tak, z lekarzem"
5;"Tak, z farmaceutą"
2;"Nie, nie konsultuję"
5;"Inne"
2;"Tak, z lekarzem"
1;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
5;"Tak, z farmaceutą"
3;"Tak, z farmaceutą"
5;"Tak, z dietetykiem"
2;"Nie, nie konsultuję"
5;"Tak, z lekarzem"
4;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
2;"Inne"
4;"Nie, nie konsultuję"
5;"Nie, nie konsultuję"
2;"Tak, z lekarzem"
5;"Nie, nie konsultuję"
2;"Nie, nie konsultuję"
5;"Inne"
5;"Tak, z lekarzem"
4;"Tak, z dietetykiem"
1;"Tak, z lekarzem"
4;"Nie, nie konsultuję"
3;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
4;"Nie, nie konsultuję"
0;"Nie, nie konsultuję"
5;"Tak, z lekarzem"
1;"Tak, z lekarzem"
3;"Tak, z lekarzem"
5;"Tak, z lekarzem"
