Płeć,Czy aktualnie stosujesz suplementy diety?
Kobieta,Nie
Kobieta,Tak
Kobieta,Nie
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Mężczyzna,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Mężczyzna,Tak
Kobieta,Nie
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Mężczyzna,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Kobieta,Nie
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
Kobieta,Tak
