Timestamp,Płeć,Wiek,Kierunek studiów,Rok studiów,Jak często uprawiasz aktywność fizyczną?,Czy aktualnie stosujesz suplementy diety?,Jak często stosujesz suplementy?,Od jak dawna stosujesz suplementy?,Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi),Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?,"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?","Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?",Czy konsultujesz suplementację ze specjalistą?,Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi),Skąd czerpiesz informacje o suplementach?,"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)",Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5,Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?,Suplement diety to:,Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?,Nadmierne spożycie witaminy D może prowadzić do:,Kto odpowiada za bezpieczeństwo suplementów diety?,Czy suplementy mogą wchodzić w interakcje z lekami?,Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?,W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?,Które źródło uznał(a)byś za najbardziej wiarygodne?,Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?
2026/04/30 09:15:00 AM EET,Kobieta,23–25,Administracja ,I,Rzadziej niż raz w tygodniu,Nie,Codziennie,< 3 miesięcy,Witamina D;Witamina C,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,"Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz;Dietetyk",4,5,2,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Posty na Instagramie/TikToku,Lekarz,posty na ig
2026/03/21 01:58:35 PM EET,Kobieta,>25,Bezpieczeństwo wewnętrzne ,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D,Nigdy – stosuję się ściśle do zaleceń.,Stosuję tylko jeden preparat.,"Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Zapobieganie niedoborom;Wzmocnienie odporności,"Internet (artykuły, blogi);Lekarz",3,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Lekarz,Nie wiem 
2026/05/12 12:49:39 pm EEST,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D;Magnez;Witamina C;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności;Poprawa koncentracji,"Internet (artykuły, blogi);Media społecznościowe;Dietetyk",3,2,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Infografiki,Naukowe portale internetowe,Wyniki badan 
2026/03/22 06:07:06 PM EET,Kobieta,23–25,Finanse i rachunkowość ,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D;Magnez;Witamina C,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Zwiększenie energii;Poprawa koncentracji,"Internet (artykuły, blogi);Lekarz",1,2,3,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Nie wiem,Tak,Tylko minerały,Krótkie filmy edukacyjne;Warsztaty na uczelni;Konsultacje z farmaceutą,Lekarz,Warsztaty 
2026/04/21 10:00:31 AM EET,Kobieta,>25,Kryminologia i kryminalistyka ,III,1–2 razy w tygodniu,Nie,Codziennie,1–3 lata,Witamina D;Witamina C;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności,Media społecznościowe;Znajomi/rodzina,4,3,3,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Producent,Tak,Nie,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Lekarz,"Spotkania z osobami, które mają wiedzę na ten temat. "
2026/04/09 07:41:24 PM EET,Kobieta,20–22,Mediacja sztuki ,II,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,1–3 lata,Witamina D;Witamina C,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Nie, nie sprawdzam tego.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii;Poprawa samopoczucia,Znajomi/rodzina,1,2,1,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Warsztaty na uczelni;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Farmaceuta,Krótkie przejrzyste treści 
2026/04/30 10:55:15 AM EET,Kobieta,23–25,Psychologia,V,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,>3 lat,Witamina D,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Lekarz;Farmaceuta",2,2,2,Środek spożywczy uzupełniający dietę,Nie wiem,Uszkodzenia nerek,Nie wiem,Tak,Nie wiem,Infografiki;Posty na Instagramie/TikToku,Lekarz,Łatwa dostępność informacji np. Na instagramie
2026/03/17 7:39:30 am EET,Kobieta,23–25,Psychologia,IV,1–2 razy w tygodniu,Nie,Sporadycznie,>3 lat,Witamina D,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Stosuję tylko jeden preparat.,"Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Poprawa zdrowia;Zwiększenie energii,"Internet (artykuły, blogi);Lekarz",2,2,2,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki,Lekarz,Darmowe badania krwi bez skierowania
2026/05/10 11:55:53 AM EET,Kobieta,>25,Psychologia,IV,3–4 razy w tygodniu,Nie,Sporadycznie,>3 lat,Witamina D;Magnez,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Zapobieganie niedoborom,"Internet (artykuły, blogi)",4,5,4,Środek spożywczy uzupełniający dietę,Nie wiem,Nie wiem,Producent,Nie wiem,Nie,Artykuły popularnonaukowe,Naukowe portale internetowe,Interesujący wykład 
2026/03/30 09:49:30 PM EET,Kobieta,>25,Psychologia,IV,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D;Witamina C;Kwasy omega-3,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Wzmocnienie odporności;Poprawa koncentracji,Lekarz,1,1,1,Nie wiem,Nie wiem,Nie wiem,Nie wiem,Tak,Tylko minerały,Infografiki;Posty na Instagramie/TikToku,Lekarz,Raczej nic
